idcontinent,namecontinent,idregion,nameregion,idcountry,nom
5,North America,5,Caribbean,DOM,Dominican Republic                                  
1,Africa,17,Northern Africa,DZA,Algeria                                             
7,South America,19,South America,ECU,Ecuador                                             
1,Africa,17,Northern Africa,EGY,Egypt                                               
1,Africa,8,Eastern Africa,ERI,Eritrea                                             
1,Africa,17,Northern Africa,ESH,Western Sahara                                      
4,Europe,23,Southern Europe,ESP,Spain                                               
4,Europe,3,Baltic Countries,EST,Estonia                                             
1,Africa,8,Eastern Africa,ETH,Ethiopia                                            
4,Europe,15,Nordic Countries,FIN,Finland                                             
6,Oceania,11,Melanesia,FJI,Fiji Islands                                        
7,South America,19,South America,FLK,Falkland Islands                                    
4,Europe,25,Western Europe,FRA,France                                              
4,Europe,15,Nordic Countries,FRO,Faroe Islands                                       
6,Oceania,12,Micronesia,FSM,"Micronesia, Federated States of                     "
1,Africa,6,Central Africa,GAB,Gabon                                               
4,Europe,4,British Islands,GBR,United Kingdom                                      
3,Asia,14,Middle East,GEO,Georgia                                             
1,Africa,24,Western Africa,GHA,Ghana                                               
4,Europe,23,Southern Europe,GIB,Gibraltar                                           
1,Africa,24,Western Africa,GIN,Guinea                                              
5,North America,5,Caribbean,GLP,Guadeloupe                                          
1,Africa,24,Western Africa,GMB,Gambia                                              
1,Africa,24,Western Africa,GNB,Guinea-Bissau                                       
1,Africa,6,Central Africa,GNQ,Equatorial Guinea                                   
4,Europe,23,Southern Europe,GRC,Greece                                              
5,North America,5,Caribbean,GRD,Grenada                                             
5,North America,16,North America,GRL,Greenland                                           
5,North America,7,Central America,GTM,Guatemala                                           
7,South America,19,South America,GUF,French Guiana                                       
6,Oceania,12,Micronesia,GUM,Guam                                                
7,South America,19,South America,GUY,Guyana                                              
3,Asia,9,Eastern Asia,HKG,Hong Kong                                           
2,Antarctica,1,Antarctica,HMD,Heard Island and McDonald Islands                   
5,North America,7,Central America,HND,Honduras                                            
4,Europe,23,Southern Europe,HRV,Croatia                                             
5,North America,5,Caribbean,HTI,Haiti                                               
4,Europe,10,Eastern Europe,HUN,Hungary                                             
3,Asia,20,Southeast Asia,IDN,Indonesia                                           
